Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,City,Status,Resolution Description,Borough
31708483,10/8/2015 13:12,10/11/2015 12:40,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10029,1908 3 AVENUE,NEW YORK,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",MANHATTAN
31715268,10/8/2015 22:23,10/11/2015 10:00,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,10453,2015 CRESTON AVENUE,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,BRONX
31949858,11/9/2015 20:36,11/10/2015 0:02,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11231,406 BOND STREET,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,BROOKLYN
30729658,5/29/2015 7:15,5/29/2015 10:47,NYPD,New York City Police Department,Traffic,Truck Route Violation,Street/Sidewalk,11432,,JAMAICA,Closed,The Police Department issued a summons in response to the complaint.,QUEENS
30828600,6/11/2015 13:04,6/12/2015 8:23,DOT,Department of Transportation,Street Condition,Dumpster - Construction Waste,Street,10032,101 AUDOBON AVENUE,NEW YORK,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,MANHATTAN
30820859,6/11/2015 18:16,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11219,61 STREET,BROOKLYN,Open,"The Department of Parks and Recreation prunes street trees on a seven year pruning cycle.  However, the Department of Parks and Recreation reviews service requests for street tree pruning and as warranted, will take immediate action to correct the condition.",BROOKLYN
30822919,6/11/2015 9:09,6/11/2015 19:12,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11412,186-11 BAISLEY BOULEVARD,SAINT ALBANS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,QUEENS
31481666,9/7/2015 2:47,9/7/2015 3:30,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10468,2319 LORING PLACE,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,BRONX
31480241,9/7/2015 10:49,9/7/2015 13:52,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11362,47-33 LITTLE NECK PARKWAY,LITTLE NECK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS
31483324,9/7/2015 22:18,9/7/2015 23:04,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10036,,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,MANHATTAN
30821429,6/11/2015 16:21,6/11/2015 20:52,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10458,2943 BAINBRIDGE AVENUE,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,BRONX
30823895,6/11/2015 8:39,6/15/2015 15:38,DOT,Department of Transportation,Ferry Complaint,Cleanliness,Terminal,,,,Closed,The request submitted did not have sufficient information for the Department of Transportation to respond.,Unspecified
30823594,6/11/2015 7:30,6/11/2015 11:04,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,40-07 73 STREET,WOODSIDE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS
30735173,5/30/2015 23:56,5/31/2015 6:19,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10467,19 WEST MOSHOLU PARKWAY NORTH,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,BRONX
31136964,7/23/2015 1:16,7/23/2015 8:55,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,500 WEST 150 STREET,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN
31059001,7/12/2015 23:12,7/12/2015 23:27,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11372,84-16 NORTHERN BOULEVARD,JACKSON HEIGHTS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,QUEENS
30735888,5/30/2015 18:25,5/30/2015 20:29,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10468,3175 VILLA AVENUE,BRONX,Closed,The Police Department reviewed your complaint and provided additional information below.,BRONX
31061499,7/12/2015 21:40,7/13/2015 0:18,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,333 LAFAYETTE STREET,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN
31612632,9/25/2015 11:44,9/25/2015 18:15,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11106,36-50 36 STREET,Astoria,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,QUEENS
31714249,10/8/2015 13:12,10/8/2015 14:29,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11374,65-07 BOOTH STREET,REGO PARK,Closed,The Police Department issued a summons in response to the complaint.,QUEENS
31710637,10/8/2015 14:59,10/8/2015 20:00,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10465,,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,BRONX
31611944,9/25/2015 7:21,9/25/2015 7:28,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11217,608 DEGRAW STREET,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN
31613802,9/25/2015 11:43,9/29/2015 15:32,DOT,Department of Transportation,Street Condition,Cave-in,Street,10471,5615 MOSHOLU AVENUE,BRONX,Closed,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,BRONX
31613948,9/25/2015 11:47,9/25/2015 21:01,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203,394 EAST 35 STREET,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN
31527101,9/13/2015 8:58,9/13/2015 9:30,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10462,,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,BRONX
31526392,9/13/2015 17:16,9/13/2015 18:40,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11420,135-41 125 STREET,SOUTH OZONE PARK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,QUEENS
31526296,9/13/2015 22:20,9/13/2015 22:53,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,140 WILSON AVENUE,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN
31480765,9/7/2015 21:44,9/7/2015 22:19,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11230,1170 OCEAN PARKWAY,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,BROOKLYN
31524842,9/13/2015 15:55,9/13/2015 17:09,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11215,409 13 STREET,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,BROOKLYN
31526951,9/13/2015 12:50,9/13/2015 15:08,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11236,986 EAST 78 STREET,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN
31527799,9/13/2015 22:08,9/13/2015 23:04,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10452,1214 SHAKESPEARE AVENUE,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,BRONX
30487472,4/26/2015 23:13,4/27/2015 3:47,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10463,3014 RIVERDALE AVENUE,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX
30538581,5/4/2015 1:45,5/4/2015 2:24,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10463,224 NAPLES TERRACE,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,BRONX
30485019,4/27/2015 1:00,4/27/2015 2:35,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,2104 FREDERICK DOUGLASS BOULEVARD,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN
30136906,3/9/2015 15:50,3/9/2015 21:05,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11218,550 OCEAN PARKWAY,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,BROOKLYN
30601523,5/12/2015 9:11,5/15/2015 11:46,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,10468,,BRONX,Closed,The Department of Transportation investigated this Service Request and determined this street requires general maintenance.  This location has been processed into another system and is expected to be repaired in 30 days.,BRONX
30898443,6/20/2015 12:43,6/20/2015 15:24,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11220,,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN
31708315,10/8/2015 10:09,10/11/2015 8:41,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10035,2310 1 AVENUE,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,MANHATTAN
30458302,4/22/2015 12:53,4/22/2015 13:09,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11223,1651 WEST 6 STREET,BROOKLYN,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,BROOKLYN
30472249,4/24/2015 20:35,4/24/2015 21:17,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN
30897402,6/21/2015 0:54,6/21/2015 1:59,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10452,117 ROCKWOOD STREET,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,BRONX
29989497,2/19/2015 13:11,2/25/2015 4:22,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10025,,NEW YORK,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",MANHATTAN
29988672,2/19/2015 16:37,2/25/2015 4:22,DOT,Department of Transportation,Broken Muni Meter,Timer Defect - Fast/Fail,Street,11417,,OZONE PARK,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",QUEENS
30895618,6/20/2015 22:35,6/20/2015 23:03,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,916 EAST 84 STREET,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,BROOKLYN
30894796,6/20/2015 16:00,6/20/2015 17:24,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11420,109-40 126 STREET,SOUTH OZONE PARK,Closed,The Police Department responded to the complaint and took action to fix the condition.,QUEENS
30895197,6/20/2015 12:37,9/8/2015 14:54,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10010,,NEW YORK,Closed,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,MANHATTAN
31611640,9/25/2015 19:57,10/11/2015 1:06,DCA,Department of Consumer Affairs,Consumer Complaint,Overcharge,,10035,15 WILLIAMS WAY,NEW YORK,Closed,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",MANHATTAN
30895161,6/20/2015 22:04,6/20/2015 22:53,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11209,7202 COLONIAL ROAD,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,BROOKLYN
